,group_10yr,population,sex,year,zip
5140,60 to 69,999,Male,2035,92010
5141,70 to 79,921,Male,2035,92010
5142,80+,698,Male,2035,92010
5143,Total Population,9634,Male,2035,92010
5144,Total Population,20749,Total,2035,92010
5145,Under 10,1272,Female,2040,92010
5146,10 to 19,1277,Female,2040,92010
5147,20 to 29,984,Female,2040,92010
5148,30 to 39,1191,Female,2040,92010
5149,40 to 49,1502,Female,2040,92010
5150,50 to 59,1527,Female,2040,92010
5151,60 to 69,1136,Female,2040,92010
5152,70 to 79,1078,Female,2040,92010
5153,80+,1240,Female,2040,92010
5154,Total Population,11207,Female,2040,92010
5155,Under 10,1225,Male,2040,92010
5156,10 to 19,1205,Male,2040,92010
5157,20 to 29,819,Male,2040,92010
5158,30 to 39,992,Male,2040,92010
5159,40 to 49,1354,Male,2040,92010
5160,50 to 59,1246,Male,2040,92010
5161,60 to 69,989,Male,2040,92010
5162,70 to 79,841,Male,2040,92010
5163,80+,840,Male,2040,92010
5164,Total Population,9511,Male,2040,92010
5165,Total Population,20718,Total,2040,92010
5166,Under 10,1362,Female,2045,92010
5167,10 to 19,1174,Female,2045,92010
5168,20 to 29,973,Female,2045,92010
5169,30 to 39,1334,Female,2045,92010
5170,40 to 49,1372,Female,2045,92010
5171,50 to 59,1494,Female,2045,92010
5172,60 to 69,1268,Female,2045,92010
5173,70 to 79,988,Female,2045,92010
5174,80+,1326,Female,2045,92010
5175,Total Population,11291,Female,2045,92010
5176,Under 10,1280,Male,2045,92010
5177,10 to 19,1162,Male,2045,92010
5178,20 to 29,803,Male,2045,92010
5179,30 to 39,986,Male,2045,92010
5180,40 to 49,1243,Male,2045,92010
5181,50 to 59,1233,Male,2045,92010
5182,60 to 69,1055,Male,2045,92010
5183,70 to 79,765,Male,2045,92010
5184,80+,883,Male,2045,92010
5185,Total Population,9410,Male,2045,92010
5186,Total Population,20701,Total,2045,92010
5187,Under 10,1459,Female,2050,92010
5188,10 to 19,1178,Female,2050,92010
5189,20 to 29,876,Female,2050,92010
5190,30 to 39,1469,Female,2050,92010
5191,40 to 49,1388,Female,2050,92010
5192,50 to 59,1362,Female,2050,92010
5193,60 to 69,1333,Female,2050,92010
5194,70 to 79,1003,Female,2050,92010
5195,80+,1274,Female,2050,92010
5196,Total Population,11342,Female,2050,92010
5197,Under 10,1358,Male,2050,92010
5198,10 to 19,1153,Male,2050,92010
5199,20 to 29,763,Male,2050,92010
5200,30 to 39,1022,Male,2050,92010
5201,40 to 49,1174,Male,2050,92010
5202,50 to 59,1216,Male,2050,92010
5203,60 to 69,1079,Male,2050,92010
5204,70 to 79,755,Male,2050,92010
5205,80+,838,Male,2050,92010
5206,Total Population,9358,Male,2050,92010
5207,Total Population,20700,Total,2050,92010
5208,Under 10,1326,Female,2012,92011
5209,10 to 19,1595,Female,2012,92011
5210,20 to 29,829,Female,2012,92011
5211,30 to 39,1250,Female,2012,92011
5212,40 to 49,2024,Female,2012,92011
5213,50 to 59,1873,Female,2012,92011
5214,60 to 69,1416,Female,2012,92011
5215,70 to 79,812,Female,2012,92011
5216,80+,674,Female,2012,92011
5217,Total Population,11799,Female,2012,92011
5218,Under 10,1336,Male,2012,92011
5219,10 to 19,1903,Male,2012,92011
5220,20 to 29,817,Male,2012,92011
5221,30 to 39,1082,Male,2012,92011
5222,40 to 49,1733,Male,2012,92011
5223,50 to 59,1780,Male,2012,92011
5224,60 to 69,1209,Male,2012,92011
5225,70 to 79,666,Male,2012,92011
5226,80+,442,Male,2012,92011
5227,Total Population,10968,Male,2012,92011
5228,Total Population,22767,Total,2012,92011
5229,Under 10,1566,Female,2020,92011
5230,10 to 19,1404,Female,2020,92011
5231,20 to 29,832,Female,2020,92011
5232,30 to 39,1510,Female,2020,92011
5233,40 to 49,1863,Female,2020,92011
5234,50 to 59,1656,Female,2020,92011
5235,60 to 69,1891,Female,2020,92011
5236,70 to 79,1253,Female,2020,92011
5237,80+,697,Female,2020,92011
5238,Total Population,12672,Female,2020,92011
5239,Under 10,1565,Male,2020,92011
5240,10 to 19,1616,Male,2020,92011
5241,20 to 29,817,Male,2020,92011
5242,30 to 39,1151,Male,2020,92011
5243,40 to 49,1552,Male,2020,92011
5244,50 to 59,1604,Male,2020,92011
5245,60 to 69,1645,Male,2020,92011
5246,70 to 79,1113,Male,2020,92011
5247,80+,472,Male,2020,92011
5248,Total Population,11535,Male,2020,92011
5249,Total Population,24207,Total,2020,92011
5250,Under 10,1561,Female,2025,92011
5251,10 to 19,1495,Female,2025,92011
5252,20 to 29,730,Female,2025,92011
5253,30 to 39,1477,Female,2025,92011
5254,40 to 49,2046,Female,2025,92011
5255,50 to 59,1478,Female,2025,92011
5256,60 to 69,1920,Female,2025,92011
5257,70 to 79,1530,Female,2025,92011
5258,80+,790,Female,2025,92011
5259,Total Population,13027,Female,2025,92011
5260,Under 10,1538,Male,2025,92011
5261,10 to 19,1657,Male,2025,92011
5262,20 to 29,702,Male,2025,92011
5263,30 to 39,1144,Male,2025,92011
5264,40 to 49,1620,Male,2025,92011
5265,50 to 59,1393,Male,2025,92011
5266,60 to 69,1653,Male,2025,92011
5267,70 to 79,1372,Male,2025,92011
5268,80+,560,Male,2025,92011
5269,Total Population,11639,Male,2025,92011
5270,Total Population,24666,Total,2025,92011
5271,Under 10,1510,Female,2030,92011
5272,10 to 19,1615,Female,2030,92011
5273,20 to 29,729,Female,2030,92011
5274,30 to 39,1382,Female,2030,92011
5275,40 to 49,2175,Female,2030,92011
5276,50 to 59,1496,Female,2030,92011
5277,60 to 69,1707,Female,2030,92011
5278,70 to 79,1718,Female,2030,92011
5279,80+,1030,Female,2030,92011
5280,Total Population,13362,Female,2030,92011
5281,Under 10,1458,Male,2030,92011
5282,10 to 19,1706,Male,2030,92011
5283,20 to 29,636,Male,2030,92011
5284,30 to 39,1108,Male,2030,92011
5285,40 to 49,1636,Male,2030,92011
5286,50 to 59,1325,Male,2030,92011
5287,60 to 69,1466,Male,2030,92011
5288,70 to 79,1539,Male,2030,92011
5289,80+,720,Male,2030,92011
5290,Total Population,11594,Male,2030,92011
5291,Total Population,24956,Total,2030,92011
5292,Under 10,1426,Female,2035,92011
5293,10 to 19,1642,Female,2035,92011
5294,20 to 29,833,Female,2035,92011
5295,30 to 39,1242,Female,2035,92011
5296,40 to 49,2145,Female,2035,92011
5297,50 to 59,1732,Female,2035,92011
5298,60 to 69,1567,Female,2035,92011
5299,70 to 79,1770,Female,2035,92011
5300,80+,1346,Female,2035,92011
5301,Total Population,13703,Female,2035,92011
5302,Under 10,1374,Male,2035,92011
5303,10 to 19,1659,Male,2035,92011
5304,20 to 29,652,Male,2035,92011
5305,30 to 39,1008,Male,2035,92011
5306,40 to 49,1619,Male,2035,92011
5307,50 to 59,1415,Male,2035,92011
5308,60 to 69,1285,Male,2035,92011
5309,70 to 79,1646,Male,2035,92011
5310,80+,901,Male,2035,92011
5311,Total Population,11559,Male,2035,92011
5312,Total Population,25262,Total,2035,92011
5313,Under 10,1439,Female,2040,92011
5314,10 to 19,1536,Female,2040,92011
5315,20 to 29,897,Female,2040,92011
5316,30 to 39,1255,Female,2040,92011
5317,40 to 49,1987,Female,2040,92011
5318,50 to 59,1873,Female,2040,92011
5319,60 to 69,1566,Female,2040,92011
5320,70 to 79,1640,Female,2040,92011
5321,80+,1617,Female,2040,92011
5322,Total Population,13810,Female,2040,92011
5323,Under 10,1367,Male,2040,92011
5324,10 to 19,1572,Male,2040,92011
5325,20 to 29,669,Male,2040,92011
5326,30 to 39,947,Male,2040,92011
5327,40 to 49,1576,Male,2040,92011
5328,50 to 59,1424,Male,2040,92011
5329,60 to 69,1238,Male,2040,92011
5330,70 to 79,1499,Male,2040,92011
5331,80+,1076,Male,2040,92011
5332,Total Population,11368,Male,2040,92011
5333,Total Population,25178,Total,2040,92011
5334,Under 10,1565,Female,2045,92011
5335,10 to 19,1432,Female,2045,92011
5336,20 to 29,892,Female,2045,92011
5337,30 to 39,1420,Female,2045,92011
5338,40 to 49,1789,Female,2045,92011
5339,50 to 59,1816,Female,2045,92011
5340,60 to 69,1759,Female,2045,92011
5341,70 to 79,1490,Female,2045,92011
5342,80+,1743,Female,2045,92011
5343,Total Population,13906,Female,2045,92011
5344,Under 10,1467,Male,2045,92011
5345,10 to 19,1498,Male,2045,92011
5346,20 to 29,654,Male,2045,92011
5347,30 to 39,936,Male,2045,92011
5348,40 to 49,1448,Male,2045,92011
5349,50 to 59,1420,Male,2045,92011
5350,60 to 69,1341,Male,2045,92011
5351,70 to 79,1363,Male,2045,92011
5352,80+,1117,Male,2045,92011
5353,Total Population,11244,Male,2045,92011
5354,Total Population,25150,Total,2045,92011
5355,Under 10,1672,Female,2050,92011
5356,10 to 19,1437,Female,2050,92011
5357,20 to 29,802,Female,2050,92011
5358,30 to 39,1605,Female,2050,92011
5359,40 to 49,1780,Female,2050,92011
5360,50 to 59,1632,Female,2050,92011
5361,60 to 69,1888,Female,2050,92011
5362,70 to 79,1481,Female,2050,92011
5363,80+,1673,Female,2050,92011
5364,Total Population,13970,Female,2050,92011
5365,Under 10,1580,Male,2050,92011
5366,10 to 19,1525,Male,2050,92011
5367,20 to 29,610,Male,2050,92011
5368,30 to 39,946,Male,2050,92011
5369,40 to 49,1378,Male,2050,92011
5370,50 to 59,1374,Male,2050,92011
5371,60 to 69,1384,Male,2050,92011
5372,70 to 79,1344,Male,2050,92011
5373,80+,1049,Male,2050,92011
5374,Total Population,11190,Male,2050,92011
5375,Total Population,25160,Total,2050,92011
5376,Under 10,538,Female,2012,92014
5377,10 to 19,767,Female,2012,92014
5378,20 to 29,504,Female,2012,92014
5379,30 to 39,696,Female,2012,92014
5380,40 to 49,918,Female,2012,92014
5381,50 to 59,1212,Female,2012,92014
5382,60 to 69,1253,Female,2012,92014
5383,70 to 79,614,Female,2012,92014
5384,80+,396,Female,2012,92014
5385,Total Population,6898,Female,2012,92014
5386,Under 10,545,Male,2012,92014
5387,10 to 19,869,Male,2012,92014
5388,20 to 29,576,Male,2012,92014
5389,30 to 39,666,Male,2012,92014
5390,40 to 49,830,Male,2012,92014
5391,50 to 59,1097,Male,2012,92014
5392,60 to 69,1115,Male,2012,92014
5393,70 to 79,651,Male,2012,92014
5394,80+,311,Male,2012,92014
5395,Total Population,6660,Male,2012,92014
5396,Total Population,13558,Total,2012,92014
5397,Under 10,601,Female,2020,92014
5398,10 to 19,547,Female,2020,92014
5399,20 to 29,475,Female,2020,92014
5400,30 to 39,775,Female,2020,92014
5401,40 to 49,761,Female,2020,92014
5402,50 to 59,1040,Female,2020,92014
5403,60 to 69,1578,Female,2020,92014
5404,70 to 79,942,Female,2020,92014
5405,80+,407,Female,2020,92014
5406,Total Population,7126,Female,2020,92014
5407,Under 10,581,Male,2020,92014
5408,10 to 19,629,Male,2020,92014
5409,20 to 29,535,Male,2020,92014
5410,30 to 39,701,Male,2020,92014
5411,40 to 49,688,Male,2020,92014
5412,50 to 59,952,Male,2020,92014
5413,60 to 69,1352,Male,2020,92014
5414,70 to 79,1030,Male,2020,92014
5415,80+,313,Male,2020,92014
5416,Total Population,6781,Male,2020,92014
5417,Total Population,13907,Total,2020,92014
5418,Under 10,597,Female,2025,92014
5419,10 to 19,627,Female,2025,92014
5420,20 to 29,437,Female,2025,92014
5421,30 to 39,749,Female,2025,92014
5422,40 to 49,857,Female,2025,92014
5423,50 to 59,946,Female,2025,92014
5424,60 to 69,1590,Female,2025,92014
5425,70 to 79,1140,Female,2025,92014
5426,80+,428,Female,2025,92014
5427,Total Population,7371,Female,2025,92014
5428,Under 10,575,Male,2025,92014
5429,10 to 19,664,Male,2025,92014
5430,20 to 29,473,Male,2025,92014
5431,30 to 39,662,Male,2025,92014
5432,40 to 49,739,Male,2025,92014
5433,50 to 59,825,Male,2025,92014
5434,60 to 69,1391,Male,2025,92014
5435,70 to 79,1192,Male,2025,92014
5436,80+,367,Male,2025,92014
5437,Total Population,6888,Male,2025,92014
5438,Total Population,14259,Total,2025,92014
5439,Under 10,590,Female,2030,92014
5440,10 to 19,704,Female,2030,92014
5441,20 to 29,434,Female,2030,92014
5442,30 to 39,721,Female,2030,92014
5443,40 to 49,932,Female,2030,92014
5444,50 to 59,965,Female,2030,92014
5445,60 to 69,1441,Female,2030,92014
5446,70 to 79,1205,Female,2030,92014
5447,80+,549,Female,2030,92014
5448,Total Population,7541,Female,2030,92014
5449,Under 10,553,Male,2030,92014
5450,10 to 19,713,Male,2030,92014
5451,20 to 29,426,Male,2030,92014
5452,30 to 39,636,Male,2030,92014
5453,40 to 49,734,Male,2030,92014
5454,50 to 59,800,Male,2030,92014
5455,60 to 69,1241,Male,2030,92014
5456,70 to 79,1285,Male,2030,92014
5457,80+,485,Male,2030,92014
5458,Total Population,6873,Male,2030,92014
5459,Total Population,14414,Total,2030,92014
5460,Under 10,591,Female,2035,92014
5461,10 to 19,704,Female,2035,92014
5462,20 to 29,499,Female,2035,92014
5463,30 to 39,680,Female,2035,92014
5464,40 to 49,950,Female,2035,92014
5465,50 to 59,1103,Female,2035,92014
5466,60 to 69,1294,Female,2035,92014
5467,70 to 79,1198,Female,2035,92014
5468,80+,697,Female,2035,92014
5469,Total Population,7716,Female,2035,92014
5470,Under 10,546,Male,2035,92014
5471,10 to 19,710,Male,2035,92014
5472,20 to 29,444,Male,2035,92014
5473,30 to 39,591,Male,2035,92014
5474,40 to 49,738,Male,2035,92014
5475,50 to 59,860,Male,2035,92014
5476,60 to 69,1097,Male,2035,92014
5477,70 to 79,1268,Male,2035,92014
5478,80+,578,Male,2035,92014
5479,Total Population,6832,Male,2035,92014
5480,Total Population,14548,Total,2035,92014
5481,Under 10,602,Female,2040,92014
5482,10 to 19,649,Female,2040,92014
5483,20 to 29,608,Female,2040,92014
5484,30 to 39,748,Female,2040,92014
5485,40 to 49,892,Female,2040,92014
5486,50 to 59,1221,Female,2040,92014
5487,60 to 69,1326,Female,2040,92014
5488,70 to 79,1093,Female,2040,92014
5489,80+,835,Female,2040,92014
5490,Total Population,7974,Female,2040,92014
5491,Under 10,594,Male,2040,92014
5492,10 to 19,669,Male,2040,92014
5493,20 to 29,464,Male,2040,92014
5494,30 to 39,596,Male,2040,92014
5495,40 to 49,746,Male,2040,92014
5496,50 to 59,924,Male,2040,92014
5497,60 to 69,1087,Male,2040,92014
5498,70 to 79,1128,Male,2040,92014
5499,80+,683,Male,2040,92014
5500,Total Population,6891,Male,2040,92014
5501,Total Population,14865,Total,2040,92014
5502,Under 10,669,Female,2045,92014
5503,10 to 19,574,Female,2045,92014
5504,20 to 29,628,Female,2045,92014
5505,30 to 39,870,Female,2045,92014
5506,40 to 49,809,Female,2045,92014
5507,50 to 59,1182,Female,2045,92014
5508,60 to 69,1505,Female,2045,92014
5509,70 to 79,960,Female,2045,92014
5510,80+,900,Female,2045,92014
5511,Total Population,8097,Female,2045,92014
5512,Under 10,649,Male,2045,92014
5513,10 to 19,670,Male,2045,92014
5514,20 to 29,468,Male,2045,92014
5515,30 to 39,654,Male,2045,92014
5516,40 to 49,670,Male,2045,92014
5517,50 to 59,909,Male,2045,92014
5518,60 to 69,1157,Male,2045,92014
5519,70 to 79,986,Male,2045,92014
5520,80+,686,Male,2045,92014
5521,Total Population,6849,Male,2045,92014
5522,Total Population,14946,Total,2045,92014
5523,Under 10,698,Female,2050,92014
5524,10 to 19,582,Female,2050,92014
5525,20 to 29,594,Female,2050,92014
5526,30 to 39,957,Female,2050,92014
5527,40 to 49,829,Female,2050,92014
5528,50 to 59,1104,Female,2050,92014
5529,60 to 69,1579,Female,2050,92014
5530,70 to 79,959,Female,2050,92014
5531,80+,855,Female,2050,92014
5532,Total Population,8157,Female,2050,92014
5533,Under 10,681,Male,2050,92014
5534,10 to 19,683,Male,2050,92014
5535,20 to 29,476,Male,2050,92014
5536,30 to 39,663,Male,2050,92014
5537,40 to 49,636,Male,2050,92014
5538,50 to 59,907,Male,2050,92014
5539,60 to 69,1185,Male,2050,92014
5540,70 to 79,967,Male,2050,92014
5541,80+,622,Male,2050,92014
5542,Total Population,6820,Male,2050,92014
5543,Total Population,14977,Total,2050,92014
5544,Under 10,2357,Female,2012,92019
5545,10 to 19,3273,Female,2012,92019
5546,20 to 29,2975,Female,2012,92019
5547,30 to 39,2437,Female,2012,92019
5548,40 to 49,3016,Female,2012,92019
5549,50 to 59,3465,Female,2012,92019
5550,60 to 69,2504,Female,2012,92019
5551,70 to 79,1122,Female,2012,92019
5552,80+,994,Female,2012,92019
5553,Total Population,22143,Female,2012,92019
5554,Under 10,2590,Male,2012,92019
5555,10 to 19,3304,Male,2012,92019
5556,20 to 29,3064,Male,2012,92019
5557,30 to 39,2371,Male,2012,92019
5558,40 to 49,2694,Male,2012,92019
5559,50 to 59,3204,Male,2012,92019
5560,60 to 69,2338,Male,2012,92019
5561,70 to 79,996,Male,2012,92019
5562,80+,530,Male,2012,92019
5563,Total Population,21091,Male,2012,92019
5564,Total Population,43234,Total,2012,92019
5565,Under 10,2762,Female,2020,92019
5566,10 to 19,2826,Female,2020,92019
5567,20 to 29,2863,Female,2020,92019
5568,30 to 39,2734,Female,2020,92019
5569,40 to 49,2744,Female,2020,92019
5570,50 to 59,3177,Female,2020,92019
5571,60 to 69,2978,Female,2020,92019
5572,70 to 79,1650,Female,2020,92019
5573,80+,947,Female,2020,92019
5574,Total Population,22681,Female,2020,92019
5575,Under 10,2809,Male,2020,92019
5576,10 to 19,2840,Male,2020,92019
5577,20 to 29,3004,Male,2020,92019
5578,30 to 39,2411,Male,2020,92019
5579,40 to 49,2474,Male,2020,92019
5580,50 to 59,3024,Male,2020,92019
5581,60 to 69,2828,Male,2020,92019
5582,70 to 79,1454,Male,2020,92019
5583,80+,518,Male,2020,92019
5584,Total Population,21362,Male,2020,92019
5585,Total Population,44043,Total,2020,92019
5586,Under 10,2754,Female,2025,92019
5587,10 to 19,3050,Female,2025,92019
5588,20 to 29,2651,Female,2025,92019
5589,30 to 39,2859,Female,2025,92019
5590,40 to 49,2952,Female,2025,92019
5591,50 to 59,2929,Female,2025,92019
5592,60 to 69,3062,Female,2025,92019
5593,70 to 79,2015,Female,2025,92019
5594,80+,1082,Female,2025,92019
5595,Total Population,23354,Female,2025,92019
5596,Under 10,2849,Male,2025,92019
5597,10 to 19,2882,Male,2025,92019
5598,20 to 29,2808,Male,2025,92019
5599,30 to 39,2459,Male,2025,92019
5600,40 to 49,2610,Male,2025,92019
5601,50 to 59,2731,Male,2025,92019
5602,60 to 69,2962,Male,2025,92019
5603,70 to 79,1774,Male,2025,92019
5604,80+,606,Male,2025,92019
5605,Total Population,21681,Male,2025,92019
5606,Total Population,45035,Total,2025,92019
5607,Under 10,2713,Female,2030,92019
5608,10 to 19,3161,Female,2030,92019
5609,20 to 29,2699,Female,2030,92019
5610,30 to 39,2770,Female,2030,92019
5611,40 to 49,3210,Female,2030,92019
5612,50 to 59,2889,Female,2030,92019
5613,60 to 69,2879,Female,2030,92019
5614,70 to 79,2250,Female,2030,92019
5615,80+,1367,Female,2030,92019
5616,Total Population,23938,Female,2030,92019
5617,Under 10,2768,Male,2030,92019
5618,10 to 19,3005,Male,2030,92019
5619,20 to 29,2699,Male,2030,92019
5620,30 to 39,2578,Male,2030,92019
5621,40 to 49,2663,Male,2030,92019
5622,50 to 59,2627,Male,2030,92019
5623,60 to 69,2779,Male,2030,92019
5624,70 to 79,2000,Male,2030,92019
5625,80+,788,Male,2030,92019
5626,Total Population,21907,Male,2030,92019
5627,Total Population,45845,Total,2030,92019
5628,Under 10,2617,Female,2035,92019
5629,10 to 19,3148,Female,2035,92019
5630,20 to 29,2909,Female,2035,92019
5631,30 to 39,2557,Female,2035,92019
5632,40 to 49,3271,Female,2035,92019
5633,50 to 59,3173,Female,2035,92019
5634,60 to 69,2610,Female,2035,92019
5635,70 to 79,2210,Female,2035,92019
5636,80+,1636,Female,2035,92019
5637,Total Population,24131,Female,2035,92019
5638,Under 10,2740,Male,2035,92019
5639,10 to 19,2997,Male,2035,92019
5640,20 to 29,2744,Male,2035,92019
5641,30 to 39,2428,Male,2035,92019
5642,40 to 49,2695,Male,2035,92019
5643,50 to 59,2756,Male,2035,92019
5644,60 to 69,2420,Male,2035,92019
5645,70 to 79,2046,Male,2035,92019
5646,80+,906,Male,2035,92019
5647,Total Population,21732,Male,2035,92019
5648,Total Population,45863,Total,2035,92019
5649,Under 10,2590,Female,2040,92019
5650,10 to 19,3098,Female,2040,92019
5651,20 to 29,3050,Female,2040,92019
5652,30 to 39,2594,Female,2040,92019
5653,40 to 49,3214,Female,2040,92019
5654,50 to 59,3401,Female,2040,92019
5655,60 to 69,2568,Female,2040,92019
5656,70 to 79,2071,Female,2040,92019
5657,80+,1907,Female,2040,92019
5658,Total Population,24493,Female,2040,92019
5659,Under 10,2803,Male,2040,92019
5660,10 to 19,2969,Male,2040,92019
5661,20 to 29,2796,Male,2040,92019
5662,30 to 39,2273,Male,2040,92019
5663,40 to 49,2819,Male,2040,92019
5664,50 to 59,2847,Male,2040,92019
5665,60 to 69,2369,Male,2040,92019
5666,70 to 79,1931,Male,2040,92019
5667,80+,996,Male,2040,92019
5668,Total Population,21803,Male,2040,92019
5669,Total Population,46296,Total,2040,92019
5670,Under 10,2692,Female,2045,92019
5671,10 to 19,2967,Female,2045,92019
5672,20 to 29,3011,Female,2045,92019
5673,30 to 39,2740,Female,2045,92019
5674,40 to 49,2979,Female,2045,92019
5675,50 to 59,3500,Female,2045,92019
5676,60 to 69,2789,Female,2045,92019
5677,70 to 79,1967,Female,2045,92019
5678,80+,2065,Female,2045,92019
5679,Total Population,24710,Female,2045,92019
5680,Under 10,2897,Male,2045,92019
5681,10 to 19,2958,Male,2045,92019
5682,20 to 29,2771,Male,2045,92019
5683,30 to 39,2287,Male,2045,92019
5684,40 to 49,2624,Male,2045,92019
5685,50 to 59,2972,Male,2045,92019
5686,60 to 69,2561,Male,2045,92019
5687,70 to 79,1720,Male,2045,92019
5688,80+,998,Male,2045,92019
5689,Total Population,21788,Male,2045,92019
5690,Total Population,46498,Total,2045,92019
5691,Under 10,2840,Female,2050,92019
5692,10 to 19,2995,Female,2050,92019
5693,20 to 29,2825,Female,2050,92019
5694,30 to 39,2843,Female,2050,92019
5695,40 to 49,2985,Female,2050,92019
5696,50 to 59,3378,Female,2050,92019
5697,60 to 69,3015,Female,2050,92019
5698,70 to 79,1972,Female,2050,92019
5699,80+,1998,Female,2050,92019
5700,Total Population,24851,Female,2050,92019
5701,Under 10,2945,Male,2050,92019
5702,10 to 19,2969,Male,2050,92019
5703,20 to 29,2724,Male,2050,92019
5704,30 to 39,2362,Male,2050,92019
5705,40 to 49,2461,Male,2050,92019
5706,50 to 59,3120,Male,2050,92019
5707,60 to 69,2594,Male,2050,92019
5708,70 to 79,1669,Male,2050,92019
5709,80+,897,Male,2050,92019
5710,Total Population,21741,Male,2050,92019
5711,Total Population,46592,Total,2050,92019
5712,Under 10,3961,Female,2012,92020
5713,10 to 19,4012,Female,2012,92020
5714,20 to 29,4503,Female,2012,92020
5715,30 to 39,3857,Female,2012,92020
5716,40 to 49,3817,Female,2012,92020
5717,50 to 59,4038,Female,2012,92020
5718,60 to 69,2738,Female,2012,92020
5719,70 to 79,1738,Female,2012,92020
5720,80+,1454,Female,2012,92020
5721,Total Population,30118,Female,2012,92020
5722,Under 10,4122,Male,2012,92020
5723,10 to 19,4362,Male,2012,92020
5724,20 to 29,4511,Male,2012,92020
5725,30 to 39,3784,Male,2012,92020
5726,40 to 49,3732,Male,2012,92020
5727,50 to 59,3751,Male,2012,92020
5728,60 to 69,2480,Male,2012,92020
5729,70 to 79,1267,Male,2012,92020
5730,80+,899,Male,2012,92020
5731,Total Population,28908,Male,2012,92020
5732,Total Population,59026,Total,2012,92020
5733,Under 10,4428,Female,2020,92020
5734,10 to 19,3482,Female,2020,92020
5735,20 to 29,4333,Female,2020,92020
5736,30 to 39,4199,Female,2020,92020
5737,40 to 49,3439,Female,2020,92020
5738,50 to 59,3741,Female,2020,92020
5739,60 to 69,3358,Female,2020,92020
5740,70 to 79,2346,Female,2020,92020
5741,80+,1380,Female,2020,92020
5742,Total Population,30706,Female,2020,92020
5743,Under 10,4628,Male,2020,92020
5744,10 to 19,3676,Male,2020,92020
5745,20 to 29,4733,Male,2020,92020
5746,30 to 39,4087,Male,2020,92020
5747,40 to 49,3440,Male,2020,92020
5748,50 to 59,3535,Male,2020,92020
5749,60 to 69,3105,Male,2020,92020
5750,70 to 79,1819,Male,2020,92020
5751,80+,847,Male,2020,92020
5752,Total Population,29870,Male,2020,92020
5753,Total Population,60576,Total,2020,92020
5754,Under 10,4592,Female,2025,92020
5755,10 to 19,3632,Female,2025,92020
5756,20 to 29,4090,Female,2025,92020
5757,30 to 39,4348,Female,2025,92020
5758,40 to 49,3758,Female,2025,92020
5759,50 to 59,3565,Female,2025,92020
5760,60 to 69,3420,Female,2025,92020
5761,70 to 79,2848,Female,2025,92020
5762,80+,1551,Female,2025,92020
5763,Total Population,31804,Female,2025,92020
5764,Under 10,4743,Male,2025,92020
5765,10 to 19,3799,Male,2025,92020
5766,20 to 29,4548,Male,2025,92020
5767,30 to 39,4344,Male,2025,92020
5768,40 to 49,3645,Male,2025,92020
5769,50 to 59,3255,Male,2025,92020
5770,60 to 69,3257,Male,2025,92020
5771,70 to 79,2242,Male,2025,92020
5772,80+,955,Male,2025,92020
5773,Total Population,30788,Male,2025,92020
5774,Total Population,62592,Total,2025,92020
5775,Under 10,4601,Female,2030,92020
5776,10 to 19,3972,Female,2030,92020
5777,20 to 29,4237,Female,2030,92020
5778,30 to 39,4464,Female,2030,92020
5779,40 to 49,4177,Female,2030,92020
5780,50 to 59,3608,Female,2030,92020
5781,60 to 69,3284,Female,2030,92020
5782,70 to 79,3170,Female,2030,92020
5783,80+,1930,Female,2030,92020
5784,Total Population,33443,Female,2030,92020
5785,Under 10,4827,Male,2030,92020
5786,10 to 19,4070,Male,2030,92020
5787,20 to 29,4504,Male,2030,92020
5788,30 to 39,4712,Male,2030,92020
5789,40 to 49,3895,Male,2030,92020
5790,50 to 59,3247,Male,2030,92020
5791,60 to 69,3085,Male,2030,92020
5792,70 to 79,2502,Male,2030,92020
5793,80+,1266,Male,2030,92020
5794,Total Population,32108,Male,2030,92020
5795,Total Population,65551,Total,2030,92020
5796,Under 10,4579,Female,2035,92020
5797,10 to 19,4099,Female,2035,92020
5798,20 to 29,4530,Female,2035,92020
5799,30 to 39,4315,Female,2035,92020
5800,40 to 49,4437,Female,2035,92020
5801,50 to 59,3984,Female,2035,92020
5802,60 to 69,3096,Female,2035,92020
5803,70 to 79,3276,Female,2035,92020
5804,80+,2352,Female,2035,92020
5805,Total Population,34668,Female,2035,92020
5806,Under 10,4872,Male,2035,92020
5807,10 to 19,4177,Male,2035,92020
5808,20 to 29,4620,Male,2035,92020
5809,30 to 39,4607,Male,2035,92020
5810,40 to 49,4189,Male,2035,92020
5811,50 to 59,3452,Male,2035,92020
5812,60 to 69,2892,Male,2035,92020
5813,70 to 79,2603,Male,2035,92020
5814,80+,1519,Male,2035,92020
5815,Total Population,32931,Male,2035,92020
5816,Total Population,67599,Total,2035,92020
5817,Under 10,4752,Female,2040,92020
5818,10 to 19,4099,Female,2040,92020
5819,20 to 29,4938,Female,2040,92020
5820,30 to 39,4464,Female,2040,92020
5821,40 to 49,4508,Female,2040,92020
5822,50 to 59,4422,Female,2040,92020
5823,60 to 69,3182,Female,2040,92020
5824,70 to 79,3140,Female,2040,92020
5825,80+,2747,Female,2040,92020
5826,Total Population,36252,Female,2040,92020
5827,Under 10,5022,Male,2040,92020
5828,10 to 19,4315,Male,2040,92020
5829,20 to 29,4888,Male,2040,92020
5830,30 to 39,4609,Male,2040,92020
